"name","description","category","subCategory","stockQty","isOrganic","isFeatured","isAvailable","tags","images","v1_size","v1_unit","v1_mrp","v1_price","v1_sku","v2_size","v2_unit","v2_mrp","v2_price","v2_sku","v3_size","v3_unit","v3_mrp","v3_price","v3_sku"
"Halwa Sooji Instant Mix","Instant suji halwa mix with ghee sugar and cardamom — traditional prasad sweet in minutes","Ready to Eat","","60","false","false","true","halwa,sooji,instant,sweet","https://images.unsplash.com/photo-1551024601-bec78aea704b?w=600&q=80","200g","g","79","64","HALW-200G","400g","g","149","119","HALW-400G","","","","",""
"Pasta Arrabiata Ready","Spicy Italian arrabiata pasta in fiery tomato sauce — microwave-ready gourmet meal in 3 minutes","Ready to Eat","","40","false","false","true","pasta,arrabiata,italian,spicy","https://images.unsplash.com/photo-1555949258-eb67b1ef0ceb?w=600&q=80","300g","g","149","129","PARB-300G","","","","","","","","","",""
"Chicken Breast Boneless Skinless","Premium skinless boneless chicken breast — lean high-protein perfect for grilling baking and salads","Chicken","","80","false","true","true","chicken,breast,boneless,lean","https://images.unsplash.com/photo-1598103442097-8b74394b95c5?w=600&q=80","500g","g","229","199","CHBR-500G","1kg","kg","429","379","CHBR-1KG","","","","",""
"Chicken Curry Cut Fresh","Freshly cleaned curry-cut chicken pieces with bone — ideal for marinating and Indian gravies","Chicken","","100","false","false","true","chicken,currycut,fresh,bone-in","https://images.unsplash.com/photo-1598103442097-8b74394b95c5?w=600&q=80","500g","g","199","169","CHCC-500G","1kg","kg","369","319","CHCC-1KG","","","","",""
"Chicken Thighs Boneless","Juicy flavourful boneless chicken thighs with slightly more fat — excellent for curries and grilling","Chicken","","80","false","false","true","chicken,thigh,boneless,juicy","https://images.unsplash.com/photo-1598103442097-8b74394b95c5?w=600&q=80","500g","g","219","189","CHTH-500G","1kg","kg","409","359","CHTH-1KG","","","","",""
"Chicken Legs Drumsticks","Meaty chicken drumsticks great for tandoor frying or slow-cooked masala curries","Chicken","","80","false","false","true","chicken,legs,drumstick,meaty","https://images.unsplash.com/photo-1598103442097-8b74394b95c5?w=600&q=80","4 pcs","pcs","199","169","CHDM-4PCS","8 pcs","pcs","369","319","CHDM-8PCS","","","","",""
"Chicken Wings Buffalo Cut","Plump chicken wings cut into flats and drumettes — perfect for buffalo sauce bakes and BBQs","Chicken","","70","false","false","true","chicken,wings,buffalo,bbq","https://images.unsplash.com/photo-1598103442097-8b74394b95c5?w=600&q=80","500g","g","189","169","CHWG-500G","1kg","kg","369","329","CHWG-1KG","","","","",""
"Chicken Mince Keema Fresh","Fresh minced chicken keema — ideal for seekh kebabs kofta stuffed parathas and bolognese","Chicken","","80","false","false","true","chicken,keema,mince,fresh","https://images.unsplash.com/photo-1598103442097-8b74394b95c5?w=600&q=80","500g","g","189","169","CHMN-500G","1kg","kg","369","329","CHMN-1KG","","","","",""
"Chicken Whole Dressed","Whole fresh dressed chicken cleaned and ready to cook — perfect for roasting and whole pot curries","Chicken","","40","false","false","true","chicken,whole,dressed,roast","https://images.unsplash.com/photo-1598103442097-8b74394b95c5?w=600&q=80","1 pc","pcs","299","259","CHWL-1PC","","","","","","","","","",""
"Chicken Liver Fresh","Fresh chicken liver packed with iron B12 and folate — great for liver fry masala and pâté","Chicken","","50","false","false","true","chicken,liver,iron,fresh","https://images.unsplash.com/photo-1598103442097-8b74394b95c5?w=600&q=80","250g","g","79","64","CHLV-250G","500g","g","149","119","CHLV-500G","","","","",""
"Chicken Strips Marinated","Tender chicken strips pre-marinated in tandoori spices — grill or pan fry for quick meals","Chicken","","60","false","true","true","chicken,strips,marinated,tandoori","https://images.unsplash.com/photo-1598103442097-8b74394b95c5?w=600&q=80","300g","g","249","209","CHST-300G","600g","g","469","399","CHST-600G","","","","",""
"Mutton Goat Curry Cut","Fresh goat mutton curry cut pieces — slow-cooked for rogan josh nihari and authentic biryanis","Chicken","","50","false","false","true","mutton,goat,currycut,fresh","https://images.unsplash.com/photo-1544025162-d76538485491?w=600&q=80","500g","g","449","399","MUTC-500G","1kg","kg","879","779","MUTC-1KG","","","","",""
"Pomfret Silver Whole Fresh","Fresh silver pomfret with delicate white flesh and mild flavour — excellent for frying and curry","Fish","","50","false","true","true","pomfret,silver,fresh,delicate","https://images.unsplash.com/photo-1535234780-1c571b79d21b?w=600&q=80","500g","g","349","309","POMF-500G","1kg","kg","679","599","POMF-1KG","","","","",""
"Surmai King Fish Steak","Premium king fish steaks with firm meaty flesh — perfect for frying masala and grilling","Fish","","50","false","true","true","surmai,kingfish,steak,firm","https://images.unsplash.com/photo-1535234780-1c571b79d21b?w=600&q=80","500g","g","399","349","SURM-500G","1kg","kg","769","679","SURM-1KG","","","","",""
"Rohu Fish Fresh Whole","Fresh water Rohu fish with tender flesh and mild flavour — a North and East Indian staple","Fish","","60","false","false","true","rohu,freshwater,fresh,bengali","https://images.unsplash.com/photo-1535234780-1c571b79d21b?w=600&q=80","500g","g","199","169","ROHU-500G","1kg","kg","379","319","ROHU-1KG","","","","",""
"Hilsa Ilish Fish Fresh","The prized Hilsa fish from the Ganges with oily rich flesh and a distinctive aroma","Fish","","30","false","true","true","hilsa,ilish,bengali,premium","https://images.unsplash.com/photo-1535234780-1c571b79d21b?w=600&q=80","500g","g","499","449","HILS-500G","1kg","kg","979","879","HILS-1KG","","","","",""
"Tilapia Fillet Boneless","Mild flaky boneless tilapia fillet — great for grilling baking fish tacos and light curries","Fish","","60","false","false","true","tilapia,fillet,boneless,mild","https://images.unsplash.com/photo-1535234780-1c571b79d21b?w=600&q=80","500g","g","249","219","TILA-500G","1kg","kg","489","429","TILA-1KG","","","","",""
"Tiger Prawns Large","Large juicy tiger prawns with a firm bite and sweet flavour — great for prawn masala biryani and stir fry","Fish","","40","false","true","true","prawn,tiger,large,juicy","https://images.unsplash.com/photo-1565680018434-b513d5e5fd47?w=600&q=80","250g","g","299","259","TGPR-250G","500g","g","579","499","TGPR-500G","","","","",""
"Bangda Mackerel Fresh","Fresh Indian mackerel (bangda) with rich oily flesh and bold flavour — perfect for Goan curry and fry","Fish","","60","false","false","true","mackerel,bangda,goan,oily","https://images.unsplash.com/photo-1535234780-1c571b79d21b?w=600&q=80","500g","g","199","169","BANG-500G","1kg","kg","379","319","BANG-1KG","","","","",""
"Salmon Fillet Norwegian","Premium Norwegian salmon fillet rich in omega-3 fatty acids — best for pan-searing and sushi","Fish","","30","false","true","true","salmon,norwegian,omega3,premium","https://images.unsplash.com/photo-1535234780-1c571b79d21b?w=600&q=80","200g","g","649","569","SALM-200G","400g","g","1199","1049","SALM-400G","","","","",""
"Squid Calamari Fresh","Fresh whole squid (calamari) with tender rings and tentacles — great for frying stuffing and curries","Fish","","40","false","false","true","squid,calamari,fresh,rings","https://images.unsplash.com/photo-1565680018434-b513d5e5fd47?w=600&q=80","250g","g","199","169","SQID-250G","500g","g","379","319","SQID-500G","","","","",""
"Crab Mud Crab Fresh","Fresh live mud crab with meaty claws and rich coral roe — a coastal delicacy for masala and butter crab","Fish","","25","false","true","true","crab,mud,fresh,coastal","https://images.unsplash.com/photo-1565680018434-b513d5e5fd47?w=600&q=80","500g","g","449","399","MCRA-500G","1kg","kg","879","779","MCRA-1KG","","","","",""
"Pomfret Silver Fresh","Whole fresh silver pomfret with delicate white flesh — ideal for shallow fry tawa fish and coastal curries","Fish","","35","false","true","true","pomfret,silver,fresh,coastal","https://images.unsplash.com/photo-1535234780-1c571b79d21b?w=600&q=80","500g","g","349","299","POMF-500G","1kg","kg","649","569","POMF-1KG","","","","",""
"Hilsa Ilish Fresh","Premium hilsa (ilish) fish with rich fatty flesh and signature aroma — a Bengali delicacy for mustard curry","Fish","","20","false","true","true","hilsa,ilish,bengali,premium","https://images.unsplash.com/photo-1535234780-1c571b79d21b?w=600&q=80","500g","g","499","429","HILS-500G","1kg","kg","969","849","HILS-1KG","","","","",""
"Organic Quinoa White","Premium white quinoa high in plant protein and all nine essential amino acids — great for salads and bowls","Grains & Staples","","80","true","true","true","quinoa,white,organic,protein","https://images.unsplash.com/photo-1586201375761-83865001e31c?w=600&q=80","500g","g","299","249","QUIN-500G","1kg","kg","549","469","QUIN-1KG","","","","",""
"Rolled Oats Quick Cook","100% whole grain rolled oats for a nutritious breakfast — quick-cook variety ready in 3 minutes","Grains & Staples","","150","false","false","true","oats,rolled,quick,breakfast","https://images.unsplash.com/photo-1586201375761-83865001e31c?w=600&q=80","500g","g","99","84","OATS-500G","1kg","kg","179","149","OATS-1KG","","","","",""
"Mustard Oil Kachi Ghani","Cold-pressed kachi ghani mustard oil with pungent flavour and high MUFA content — ideal for Bengali cooking","Pantry","","120","false","false","true","mustard,oil,kachi ghani,cold pressed","https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5?w=600&q=80","500ml","ml","129","109","MSTO-500M","1L","L","229","199","MSTO-1L","","","","",""
"Ghee Pure Cow","Pure cow ghee made from grass-fed cows using traditional bilona method — rich aroma and golden colour","Pantry","","90","false","true","true","ghee,cow,pure,bilona","https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5?w=600&q=80","250g","g","249","219","GHEE-250G","500g","g","469","419","GHEE-500G","","","","",""
"Turmeric Powder Organic","Certified organic turmeric powder with high curcumin content and vibrant golden colour","Herbs & Seasonings","","200","true","false","true","turmeric,organic,curcumin,golden","https://images.unsplash.com/photo-1615485500834-bc10199bc727?w=600&q=80","100g","g","79","64","TURMORG-100G","200g","g","139","119","TURMORG-200G","","","","",""
"Red Chilli Powder Kashmiri","Bright Kashmiri red chilli powder known for deep colour with mild heat — essential for tandoori and gravies","Herbs & Seasonings","","180","false","false","true","chilli,kashmiri,red,mild","https://images.unsplash.com/photo-1615485500834-bc10199bc727?w=600&q=80","100g","g","69","59","KSHM-100G","200g","g","125","105","KSHM-200G","","","","",""
"Whole Almonds Premium","Whole premium California almonds rich in Vitamin E healthy fats and protein — great as a snack and topping","Dry Fruits","","100","false","true","true","almonds,premium,california,nuts","https://images.unsplash.com/photo-1508061253366-f7da158b6d46?w=600&q=80","250g","g","249","219","ALMD-250G","500g","g","469","419","ALMD-500G","","","","",""
"Cashews W320 Whole","Premium W320 grade whole cashews with creamy buttery taste — ideal for snacking cooking and sweets","Dry Fruits","","90","false","true","true","cashews,W320,whole,premium","https://images.unsplash.com/photo-1508061253366-f7da158b6d46?w=600&q=80","250g","g","299","259","CASH-250G","500g","g","569","499","CASH-500G","","","","",""
